player,team,oart_mean,oart_std,n_passes,completion_rate,avg_chosen_prob,avg_options
Saud Abdullah Abdul Hamid,Saudi Arabia,0.5614,0.3541,98,0.7755,0.7349,5.9694
Saša Lukić,Serbia,0.4278,0.2958,151,0.8874,0.8802,7.1921
Sebastian Szymański,Poland,0.6253,0.3503,31,0.6774,0.7055,7.0323
Sebastián Coates Nión,Uruguay,0.4952,0.3314,85,0.7882,0.8099,6.4706
Selim Amallah,Morocco,0.4727,0.3792,78,0.7949,0.7849,6.9615
Serge Gnabry,Germany,0.4614,0.3644,106,0.7642,0.7686,6.1415
Sergej Milinković-Savić,Serbia,0.5629,0.352,108,0.7407,0.7599,6.8796
Sergino Dest,United States,0.4157,0.3743,150,0.8467,0.8101,6.3933
Sergio Busquets i Burgos,Spain,0.4562,0.3285,262,0.9122,0.8733,7.2137
Sergio Rochet Álvarez,Uruguay,0.6448,0.3984,42,0.5952,0.6554,4.3333
Seung-Gyu Kim,South Korea,0.5879,0.3861,84,0.7143,0.7404,4.131
Seyed Hossein Hosseini,Iran,0.817,0.3067,31,0.5161,0.5262,4.6774
Seyed Majid Hosseini,Iran,0.4521,0.3529,99,0.8182,0.8231,6.2828
Shogo Taniguchi,Japan,0.4869,0.341,79,0.8734,0.8479,6.7975
Shūichi Gonda,Japan,0.5222,0.426,53,0.7547,0.7379,4.7736
Silvan Widmer,Switzerland,0.4768,0.4017,131,0.7786,0.7551,6.5725
Simon Thorup Kjær,Denmark,0.5458,0.3287,51,0.902,0.8812,4.8824
Sofiane Boufal,Morocco,0.5337,0.3644,117,0.7863,0.7387,6.2137
Sofyan Amrabat,Morocco,0.4704,0.3407,281,0.847,0.8511,6.7438
Stephen Antunes Eustáquio,Canada,0.4585,0.3537,81,0.9012,0.8071,7.5432
Steven Berghuis,Netherlands,0.5091,0.3346,104,0.7788,0.754,7.0288
Steven Bergwijn,Netherlands,0.4946,0.3388,64,0.9062,0.8107,6.0938
Steven de Sousa Vitoria,Canada,0.3618,0.3416,167,0.8743,0.8576,6.2814
Strahinja Pavlović,Serbia,0.5046,0.3471,126,0.8016,0.7949,7.3413
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,0.5944,0.3429,42,0.6429,0.6339,6.2143
Tajon Buchanan,Canada,0.5821,0.3842,75,0.68,0.6634,6.2
Takehiro Tomiyasu,Japan,0.4966,0.3641,85,0.7412,0.7752,6.4471
Tariq Lamptey,Ghana,0.5069,0.3951,25,0.6,0.7036,6.36
Teun Koopmeiners,Netherlands,0.4876,0.3568,105,0.7905,0.7812,6.8952
Theo Bernard François Hernández,France,0.3755,0.3443,224,0.8839,0.8547,6.6875
Thiago Emiliano da Silva,Brazil,0.3878,0.2931,296,0.9595,0.913,6.8074
Thibaut Courtois,Belgium,0.3526,0.3702,72,0.8889,0.7842,6.9167
Thilo Kehrer,Germany,0.5743,0.3783,25,0.76,0.7299,7.08
Thomas Delaney,Denmark,0.5288,0.3762,27,0.8148,0.8097,5.3704
Thomas Meunier,Belgium,0.4904,0.3856,121,0.7355,0.7288,6.9917
Thomas Müller,Germany,0.5008,0.3934,66,0.7273,0.7257,6.2879
Thomas Teye Partey,Ghana,0.5191,0.3407,168,0.8452,0.8053,6.7738
Thorgan Hazard,Belgium,0.6193,0.3583,44,0.7045,0.6734,6.9091
Tim Ream,United States,0.3882,0.3428,240,0.8958,0.886,6.2125
Timothy Castagne,Belgium,0.3927,0.3199,166,0.8735,0.8677,7.5904
