frame,time_sec,tracker_id,class,confidence,center_x,center_y,pitch_x,pitch_y
19,0.76,17,person,0.589,682.7,129.6,76.92313,28.823044
19,0.76,8,person,0.568,827.2,140.8,87.41269,32.428173
19,0.76,19,person,0.566,481.5,375.4,58.52786,61.043934
19,0.76,4,person,0.536,828.5,225.2,84.33526,45.412785
19,0.76,47,person,0.502,259.7,111.6,44.39184,20.429426
19,0.76,5,person,0.443,482.4,389.5,58.44536,62.62564
19,0.76,7,person,0.35,375.3,151.5,53.221973,28.931787
20,0.8,3,sports ball,0.757,389.5,331.1,53.09521,54.98841
20,0.8,26,person,0.72,403.4,268.5,54.409508,47.042496
20,0.8,1,person,0.655,716.2,255.3,75.75734,48.42723
20,0.8,13,person,0.62,398.9,439.5,53.08441,67.226715
20,0.8,17,person,0.605,688.5,129.7,77.36099,28.909521
20,0.8,47,person,0.563,264.1,114.2,44.743973,20.967266
20,0.8,109,person,0.54,113.2,222.3,34.1685,37.347237
20,0.8,7,person,0.483,374.2,152.4,53.132874,29.071733
20,0.8,10,person,0.432,613.8,269.8,68.54377,49.342594
20,0.8,21,person,0.422,472.6,367.7,58.05266,60.088608
20,0.8,4,person,0.378,833.7,224.5,84.71853,45.368065
20,0.8,11,person,0.336,424.8,167.9,56.785885,32.244503
20,0.8,31,person,0.333,627.3,266.9,69.506195,49.09077
20,0.8,6,person,0.332,632.4,267.3,69.83984,49.19568
20,0.8,8,person,0.308,834.4,142.2,87.89279,32.74491
21,0.84,26,person,0.744,405.7,271.8,54.54102,47.51389
21,0.84,1,person,0.707,721.7,255.1,76.133804,48.45606
21,0.84,3,sports ball,0.694,390.2,332.0,53.13494,55.105095
21,0.84,17,person,0.661,691.1,130.5,77.533554,29.078382
21,0.84,47,person,0.632,268.9,114.4,45.12254,21.06401
21,0.84,5,person,0.603,467.8,388.2,57.567963,62.352528
21,0.84,109,person,0.592,118.0,224.4,34.534252,37.717754
21,0.84,111,person,0.532,482.7,177.4,60.93758,34.442978
21,0.84,13,person,0.53,405.8,438.8,53.493412,67.21307
21,0.84,7,person,0.53,376.9,152.5,53.33586,29.120422
21,0.84,4,person,0.48,836.8,225.9,84.88316,45.599007
21,0.84,10,person,0.458,618.2,271.1,68.812454,49.559963
21,0.84,11,person,0.391,427.1,167.4,56.96154,32.188957
21,0.84,8,person,0.361,838.5,141.6,88.223305,32.693092
21,0.84,31,person,0.302,631.7,263.2,69.87816,48.638103
22,0.88,13,person,0.653,410.9,437.3,53.80157,67.101875
22,0.88,26,person,0.651,408.3,272.3,54.71254,47.607822
22,0.88,1,person,0.647,726.8,255.4,76.46989,48.548603
22,0.88,3,sports ball,0.647,391.4,332.2,53.210632,55.14087
22,0.88,109,person,0.597,124.2,226.6,34.999065,38.11695
22,0.88,47,person,0.565,272.7,112.8,45.420376,20.81478
22,0.88,5,person,0.524,466.6,388.1,57.495686,62.330807
22,0.88,10,person,0.462,621.4,270.7,69.03431,49.538834
22,0.88,11,person,0.461,427.5,162.4,57.04325,31.36958
22,0.88,111,person,0.414,486.9,177.4,61.24523,34.49049
22,0.88,17,person,0.41,694.9,131.4,77.79372,29.278416
22,0.88,31,person,0.381,635.0,267.6,70.00781,49.26197
22,0.88,21,person,0.342,474.7,363.9,58.219517,59.671684
23,0.92,1,person,0.709,731.4,255.7,76.77202,48.636
23,0.92,109,person,0.694,128.2,227.0,35.28743,38.220367
23,0.92,47,person,0.633,277.9,112.4,45.830414,20.80534
23,0.92,26,person,0.63,410.4,270.6,54.866776,47.398857
23,0.92,5,person,0.628,464.3,386.7,57.36777,62.15516
23,0.92,13,person,0.627,419.0,435.6,54.28817,66.995224
23,0.92,31,person,0.561,636.7,270.6,70.058876,49.678993
23,0.92,111,person,0.539,492.9,180.0,61.646343,34.973026
23,0.92,17,person,0.535,700.6,132.6,78.18776,29.552036
23,0.92,10,person,0.476,621.1,270.9,69.01026,49.56244
23,0.92,7,person,0.445,383.7,153.1,53.844227,29.30195
23,0.92,21,person,0.387,476.4,358.8,58.375256,59.097866
23,0.92,3,sports ball,0.37,391.8,333.0,53.23162,55.24229
24,0.96,26,person,0.707,413.0,275.1,55.00768,48.032852
24,0.96,1,person,0.697,737.8,255.6,77.20621,48.687504
24,0.96,13,person,0.661,425.2,435.5,54.653687,67.03743
24,0.96,109,person,0.628,134.2,226.1,35.70469,38.149723
24,0.96,3,sports ball,0.544,393.9,333.6,53.362442,55.33525
24,0.96,17,person,0.541,703.1,133.1,78.3611,29.66731
24,0.96,47,person,0.499,281.1,114.3,46.083466,21.197216
24,0.96,31,person,0.498,644.4,270.3,70.57966,49.716324
24,0.96,5,person,0.49,464.9,384.4,57.42482,61.90471
24,0.96,10,person,0.463,619.4,269.6,68.922485,49.372177
24,0.96,21,person,0.432,480.7,356.2,58.66989,58.835
24,0.96,7,person,0.429,386.7,151.6,54.081738,29.082834
24,0.96,111,person,0.4,496.7,175.6,61.98996,34.31312
24,0.96,11,person,0.334,437.2,165.6,57.7303,32.00955
25,1.0,1,person,0.743,744.0,255.6,77.6241,48.750496
25,1.0,26,person,0.722,413.9,279.2,55.036755,48.59135
25,1.0,109,person,0.682,140.0,224.5,36.101654,37.97119
25,1.0,47,person,0.633,285.6,113.8,46.43785,21.160698
25,1.0,13,person,0.592,431.6,434.4,55.03765,66.97814
25,1.0,31,person,0.559,644.9,269.8,70.62376,49.654846
25,1.0,128,person,0.549,662.5,238.5,72.52136,45.555515
25,1.0,3,sports ball,0.522,394.6,333.7,53.40661,55.35404
25,1.0,10,person,0.509,621.6,269.4,69.07371,49.3676
25,1.0,17,person,0.467,706.0,132.5,78.59999,29.599054
25,1.0,11,person,0.38,439.4,168.2,57.86446,32.461205
25,1.0,111,person,0.352,499.8,177.9,62.182175,34.716225
25,1.0,7,person,0.345,391.5,152.1,54.439888,29.22407
26,1.04,3,sports ball,0.793,396.6,334.1,53.532066,55.421597
26,1.04,1,person,0.735,750.9,256.9,78.05234,48.996098
26,1.04,26,person,0.721,412.6,280.8,54.93767,48.791687
26,1.04,109,person,0.66,146.7,225.8,36.590145,38.239643
26,1.04,47,person,0.659,291.3,113.3,46.887074,21.13908
26,1.04,31,person,0.649,650.9,270.0,71.02038,49.74163
26,1.04,128,person,0.57,666.2,241.0,72.71569,45.9443
26,1.04,21,person,0.531,476.1,350.9,58.434795,58.17249
26,1.04,17,person,0.5,710.3,133.2,78.90282,29.769854
26,1.04,10,person,0.493,627.2,269.7,69.44234,49.46386
26,1.04,13,person,0.462,441.3,428.8,55.64895,66.48007
26,1.04,111,person,0.457,502.1,177.8,62.351986,34.726246
26,1.04,11,person,0.444,442.8,170.9,58.085426,32.940525
26,1.04,7,person,0.38,395.0,151.9,54.70543,29.231266
27,1.08,3,sports ball,0.805,397.7,334.2,53.601757,55.444134
27,1.08,1,person,0.758,756.5,256.4,78.44342,48.98545
27,1.08,31,person,0.7,652.0,270.4,71.085144,49.80581
27,1.08,26,person,0.686,415.4,282.8,55.109467,49.085495
27,1.08,21,person,0.677,470.0,351.7,58.043797,58.210224
27,1.08,13,person,0.653,446.4,429.5,55.945217,66.59631
27,1.08,5,person,0.643,448.8,378.7,56.48614,61.122387
27,1.08,109,person,0.595,150.6,227.5,36.88216,38.53718
