frame,time_sec,class,confidence,center_x,center_y,width,height
70,2.8,person,0.737,354.6,350.3,27.1,54.0
70,2.8,person,0.675,95.7,419.8,31.4,62.1
70,2.8,person,0.645,480.0,339.6,37.7,48.3
70,2.8,person,0.559,725.3,193.6,19.0,39.7
70,2.8,sports ball,0.544,287.5,352.0,11.4,9.3
70,2.8,person,0.457,556.7,146.1,16.0,33.8
70,2.8,person,0.447,529.8,297.3,37.0,42.6
70,2.8,person,0.445,288.6,273.2,23.1,38.7
70,2.8,sports ball,0.402,540.7,310.6,14.3,9.6
70,2.8,person,0.367,287.1,269.5,19.4,30.0
70,2.8,person,0.365,521.4,297.2,21.5,42.9
75,3.0,sports ball,0.829,301.8,354.9,9.0,9.8
75,3.0,person,0.793,155.7,419.2,29.0,65.3
75,3.0,person,0.77,356.5,349.7,28.5,54.8
75,3.0,person,0.678,552.7,297.8,39.0,45.2
75,3.0,person,0.655,492.3,341.1,20.8,52.9
75,3.0,person,0.613,793.4,296.0,25.9,53.3
75,3.0,person,0.602,595.5,148.5,16.0,36.1
75,3.0,person,0.56,312.3,282.0,25.8,33.5
75,3.0,person,0.519,665.8,189.1,16.3,33.6
75,3.0,person,0.509,769.9,191.8,16.2,30.2
75,3.0,person,0.462,510.2,134.5,13.1,27.1
75,3.0,person,0.387,772.2,193.2,26.7,31.7
80,3.2,person,0.774,507.6,336.8,37.4,54.5
80,3.2,person,0.74,204.7,421.1,25.4,65.0
80,3.2,person,0.719,354.0,344.8,21.2,51.2
80,3.2,person,0.69,564.9,297.3,34.4,50.5
80,3.2,sports ball,0.651,309.5,357.9,10.1,10.8
80,3.2,person,0.646,692.4,192.3,16.8,32.8
80,3.2,person,0.58,809.3,204.1,19.9,40.9
80,3.2,person,0.522,625.6,150.1,16.9,31.9
80,3.2,person,0.52,320.8,293.3,17.5,36.9
80,3.2,person,0.505,328.2,294.9,34.4,39.6
80,3.2,person,0.493,537.6,144.5,19.3,38.0
80,3.2,person,0.47,692.6,197.1,20.7,41.6
80,3.2,person,0.446,817.2,300.2,32.0,50.9
80,3.2,person,0.314,323.4,294.2,24.7,39.3
85,3.4,person,0.856,244.1,423.7,39.5,66.4
85,3.4,person,0.819,512.7,334.4,34.7,53.8
85,3.4,person,0.723,715.1,202.0,28.4,43.0
85,3.4,person,0.702,338.8,344.5,21.3,52.8
85,3.4,person,0.683,566.2,292.8,28.5,46.1
85,3.4,person,0.58,554.0,143.7,27.8,30.5
85,3.4,person,0.55,321.7,306.2,17.7,41.3
85,3.4,person,0.471,823.8,299.7,21.2,43.4
85,3.4,person,0.441,832.4,203.0,11.3,30.7
85,3.4,person,0.436,556.9,146.6,35.6,37.1
85,3.4,person,0.434,551.5,143.4,18.3,29.3
85,3.4,person,0.306,549.7,146.8,22.7,37.9
90,3.6,person,0.8,324.3,336.1,25.4,53.3
90,3.6,person,0.752,508.5,332.0,18.5,54.6
90,3.6,sports ball,0.731,274.6,349.1,13.1,10.9
90,3.6,person,0.728,278.4,422.5,41.7,67.3
90,3.6,person,0.686,557.5,287.4,23.8,48.5
90,3.6,person,0.633,720.5,204.6,19.1,48.5
90,3.6,person,0.594,307.1,324.2,26.8,42.5
90,3.6,person,0.53,562.1,147.4,18.8,37.4
90,3.6,person,0.491,824.0,302.2,25.0,50.3
90,3.6,person,0.403,270.1,422.4,25.9,67.3
95,3.8,person,0.739,298.7,424.9,23.2,67.4
95,3.8,person,0.735,554.4,278.9,21.9,48.0
95,3.8,person,0.688,506.6,322.5,32.4,46.5
95,3.8,person,0.574,665.5,148.0,14.1,37.7
95,3.8,person,0.555,43.1,125.7,22.6,43.7
95,3.8,person,0.528,324.7,317.5,21.0,44.5
95,3.8,person,0.522,825.2,308.1,15.6,55.6
95,3.8,person,0.499,726.7,201.9,17.7,42.5
95,3.8,person,0.498,300.8,347.8,14.9,34.9
95,3.8,person,0.469,567.6,146.3,13.6,27.6
95,3.8,person,0.369,568.3,152.3,19.1,39.4
100,4.0,person,0.749,331.7,427.8,26.2,65.8
100,4.0,person,0.654,512.4,324.5,31.7,50.7
100,4.0,person,0.654,554.7,272.0,30.3,43.7
100,4.0,person,0.617,733.3,208.9,28.2,44.0
100,4.0,person,0.601,325.8,316.1,23.3,48.3
100,4.0,person,0.582,679.7,149.5,19.1,39.7
100,4.0,person,0.558,826.2,306.7,26.3,52.0
100,4.0,person,0.476,579.5,151.6,24.4,32.6
100,4.0,person,0.474,71.7,124.3,20.1,39.7
100,4.0,person,0.411,302.7,357.4,17.5,25.4
100,4.0,person,0.363,575.8,150.4,14.2,31.0
100,4.0,person,0.362,297.9,358.0,27.0,27.7
100,4.0,sports ball,0.33,207.7,323.7,9.1,10.1
105,4.2,person,0.824,368.5,431.8,26.9,65.4
105,4.2,person,0.77,518.9,325.7,22.8,53.4
105,4.2,person,0.703,755.8,211.8,29.3,49.5
105,4.2,person,0.627,107.8,125.9,30.5,42.5
105,4.2,sports ball,0.608,199.6,313.2,8.7,10.1
105,4.2,person,0.602,555.9,266.9,24.2,42.4
105,4.2,person,0.6,837.7,307.9,19.7,48.9
105,4.2,person,0.554,336.1,311.6,24.7,46.6
105,4.2,person,0.515,313.6,359.2,23.6,28.0
105,4.2,person,0.485,699.2,149.1,22.9,35.5
105,4.2,person,0.387,592.9,156.1,26.4,34.8
105,4.2,person,0.377,591.1,154.2,20.9,30.5
110,4.4,person,0.865,534.3,316.6,24.1,50.2
110,4.4,person,0.73,405.0,432.9,21.1,66.5
110,4.4,person,0.701,56.7,444.0,27.8,71.4
110,4.4,person,0.646,342.8,300.8,21.6,46.1
110,4.4,person,0.61,722.4,148.4,29.3,38.6
110,4.4,person,0.6,768.7,212.5,17.2,47.5
110,4.4,person,0.59,607.7,160.3,21.5,41.5
110,4.4,person,0.571,332.0,359.6,26.9,41.4
110,4.4,person,0.544,566.3,262.9,29.5,48.1
110,4.4,person,0.512,136.3,124.2,20.1,39.7
110,4.4,person,0.487,605.5,156.8,16.2,33.4
110,4.4,person,0.349,563.6,258.2,22.2,38.2
115,4.6,person,0.853,97.4,432.6,27.9,69.5
115,4.6,person,0.766,437.7,438.6,33.0,68.2
115,4.6,sports ball,0.749,206.0,298.0,8.3,8.2
115,4.6,person,0.743,546.7,308.2,29.9,48.8
115,4.6,person,0.683,616.5,163.7,17.9,42.4
115,4.6,person,0.651,737.7,150.2,23.7,38.2
115,4.6,person,0.646,570.0,261.7,26.9,50.1
115,4.6,person,0.631,164.6,127.1,23.9,38.3
115,4.6,person,0.565,351.5,294.2,25.3,44.3
115,4.6,person,0.538,355.9,362.2,22.1,43.1
115,4.6,person,0.498,778.8,215.5,15.2,49.5
115,4.6,sports ball,0.485,188.2,446.9,15.8,10.8
115,4.6,person,0.405,568.5,256.1,23.7,37.1
120,4.8,person,0.816,136.7,432.1,28.6,61.9
120,4.8,person,0.771,560.1,310.3,21.7,55.5
120,4.8,person,0.725,474.5,447.1,28.4,65.0
120,4.8,person,0.71,749.9,154.2,22.4,40.0
120,4.8,person,0.687,357.6,292.0,39.1,44.3
120,4.8,person,0.679,794.9,219.5,38.3,47.6
120,4.8,person,0.647,377.5,359.5,19.6,45.8
120,4.8,person,0.583,348.9,291.1,21.0,43.4
120,4.8,person,0.576,568.0,254.0,16.0,37.9
120,4.8,person,0.521,623.6,162.5,22.7,32.4
120,4.8,person,0.471,624.5,163.7,35.3,36.1
120,4.8,person,0.443,620.8,161.6,14.8,30.9
120,4.8,sports ball,0.409,211.1,296.6,10.4,9.7
125,5.0,person,0.769,628.0,176.4,29.3,42.8
125,5.0,sports ball,0.75,219.6,298.7,8.0,9.5
125,5.0,person,0.748,212.8,133.2,26.0,41.5
125,5.0,person,0.747,168.3,437.4,26.1,60.0
125,5.0,person,0.702,502.6,453.2,21.7,53.5
125,5.0,person,0.683,802.5,230.0,30.7,49.3
125,5.0,person,0.594,396.8,362.3,22.4,48.6
125,5.0,person,0.56,352.1,293.5,28.0,44.8
125,5.0,person,0.534,760.3,159.8,15.8,41.3
125,5.0,person,0.498,571.5,309.2,19.2,48.9
125,5.0,person,0.434,568.6,257.6,21.5,39.9
125,5.0,person,0.34,571.1,285.2,19.6,93.5
125,5.0,person,0.329,347.4,290.6,20.1,39.2
125,5.0,sports ball,0.322,323.2,128.8,8.3,5.4
125,5.0,person,0.317,625.9,172.9,21.7,35.2
130,5.2,person,0.83,199.1,445.3,27.5,62.2
130,5.2,person,0.803,347.5,300.2,36.9,46.7
130,5.2,person,0.745,414.9,372.7,19.7,55.7
130,5.2,person,0.726,627.4,188.9,17.0,44.8
130,5.2,person,0.717,582.0,308.2,19.9,50.6
130,5.2,person,0.651,531.5,461.1,22.9,36.7
130,5.2,person,0.635,804.3,241.5,17.7,49.8
130,5.2,person,0.633,565.7,262.3,21.4,43.5
130,5.2,sports ball,0.629,227.0,304.8,10.8,11.0
130,5.2,person,0.51,232.1,144.3,22.7,42.5
130,5.2,person,0.503,769.9,168.9,18.5,39.5
130,5.2,person,0.39,768.3,168.4,13.6,37.5
130,5.2,person,0.318,10.9,447.1,21.6,42.0
135,5.4,person,0.836,220.2,451.8,28.9,56.3
135,5.4,person,0.78,334.7,306.4,33.4,50.6
135,5.4,person,0.766,628.1,196.7,26.9,39.0
135,5.4,person,0.749,248.6,153.8,27.8,41.9
135,5.4,person,0.729,589.9,312.4,23.7,42.2
135,5.4,person,0.713,431.2,372.9,20.2,52.2
135,5.4,sports ball,0.704,232.1,311.9,10.2,9.6
135,5.4,person,0.631,804.7,252.3,34.7,48.9
135,5.4,person,0.467,627.8,194.3,20.2,34.6
135,5.4,person,0.462,560.7,266.4,31.6,43.2
135,5.4,person,0.43,556.8,469.6,16.8,19.3
135,5.4,person,0.334,773.6,177.6,28.1,35.0
140,5.6,person,0.803,231.1,455.8,26.0,48.4
140,5.6,person,0.78,797.4,260.1,36.0,51.2
140,5.6,person,0.776,587.2,317.3,20.3,56.6
140,5.6,person,0.771,767.0,184.1,28.8,37.7
140,5.6,person,0.74,308.1,312.4,29.7,50.7
140,5.6,person,0.707,439.0,374.2,20.2,51.9
140,5.6,sports ball,0.698,230.7,317.0,10.3,9.1
140,5.6,person,0.639,546.8,274.0,27.6,48.6
140,5.6,person,0.546,618.9,202.5,33.6,40.8
140,5.6,person,0.532,255.6,161.4,14.9,45.3
140,5.6,person,0.517,618.3,201.7,21.1,37.7
140,5.6,person,0.37,841.9,336.6,11.5,58.3
140,5.6,person,0.364,618.0,199.3,16.9,33.0
145,5.8,person,0.807,779.0,265.5,19.0,53.1
145,5.8,person,0.805,237.5,459.3,31.1,40.1
145,5.8,person,0.797,275.5,314.0,21.7,50.4
145,5.8,person,0.79,576.7,311.8,18.8,52.1
145,5.8,person,0.773,439.6,375.4,23.8,58.6
145,5.8,person,0.742,522.8,274.6,19.8,48.2
145,5.8,person,0.709,753.8,187.9,24.2,40.1
145,5.8,person,0.67,826.9,332.1,21.1,57.0
145,5.8,person,0.64,605.0,209.0,17.1,43.1
145,5.8,sports ball,0.325,222.2,318.9,11.2,9.8
150,6.0,person,0.822,234.8,462.4,25.2,35.2
150,6.0,person,0.765,248.3,311.2,20.1,55.0
150,6.0,person,0.743,565.7,302.5,23.0,45.8
150,6.0,person,0.728,759.9,264.4,28.8,52.4
150,6.0,person,0.714,498.5,270.6,17.7,47.8
150,6.0,person,0.701,734.9,188.6,18.7,43.0
150,6.0,person,0.667,806.5,324.0,33.3,52.0
150,6.0,person,0.665,588.7,205.7,18.7,42.3
150,6.0,person,0.659,435.4,369.7,22.0,55.0
150,6.0,person,0.521,255.3,169.5,25.2,40.3
150,6.0,sports ball,0.356,211.8,318.9,11.9,11.0
155,6.2,person,0.783,235.1,465.1,25.2,29.8
155,6.2,person,0.782,558.2,304.2,22.3,56.3
155,6.2,person,0.776,746.7,264.2,32.9,51.0
155,6.2,person,0.756,432.9,364.9,19.0,52.7
155,6.2,person,0.756,226.3,307.1,20.8,53.2
155,6.2,person,0.731,479.2,264.6,32.1,41.4
155,6.2,person,0.71,722.8,187.6,15.7,41.2
155,6.2,person,0.703,789.1,318.1,36.1,51.2
155,6.2,person,0.659,579.5,204.0,24.9,39.3
155,6.2,person,0.584,260.7,171.2,17.8,41.8
155,6.2,person,0.576,576.7,202.2,17.3,38.2
155,6.2,sports ball,0.48,449.3,181.5,7.1,5.5
155,6.2,person,0.346,479.6,263.1,24.1,38.2
155,6.2,person,0.305,784.4,317.1,23.9,47.5
155,6.2,person,0.302,8.5,157.6,16.9,26.6
160,6.4,person,0.821,210.2,302.2,27.0,51.1
160,6.4,person,0.815,551.2,297.8,16.1,50.5
160,6.4,person,0.793,770.5,314.6,33.9,53.9
160,6.4,person,0.783,710.9,184.3,24.1,40.1
160,6.4,person,0.774,733.7,266.1,20.9,53.7
160,6.4,person,0.732,431.1,354.1,22.6,47.7
160,6.4,person,0.7,237.0,467.8,24.0,23.3
160,6.4,person,0.697,563.9,204.9,15.1,41.6
160,6.4,person,0.69,462.0,266.0,27.5,48.0
165,6.6,person,0.812,195.6,294.7,22.1,49.6
